"","UNIVERSITY.NAME","STATUS","TARGET.MAJOR","TERM","GRE.Q.","GRE.V.","GRE.AWA.","GRE.TOTAL.","TOEFL","UG.COLLEGE","UG.MAJOR","CGPA","PAPERS","WORK.EXPERIENCE.M."
"477","Ohio State University","Reject","Computer Science","Fall 2019",167,157,3,324,101,"IIT Roorkee","Computer Science",6.4,1,79
"478","University of Michigan, Ann Arbor","Admit","Mechanical Engineering","Fall 2016",167,162,4,329,115,"IIT Roorkee","Mechanical Engineering",8.89,0,0
"479","University of Michigan, Dearborn","Reject","Electrical Engineering","Fall 2016",163,145,3,308,89,"IIT Roorkee","Electrical Engineering",5.8,0,0
"480","University of Pennsylvania","Reject","AI_ML_DS","Fall 2020",169,154,4.5,323,110,"IIT Roorkee","Chemical Engineering",7.89,0,19
"481","Georgia Institute of Technology","Reject","AI_ML_DS","Fall 2020",169,154,4.5,323,110,"IIT Roorkee","Chemical Engineering",7.89,0,19
"482","University of California, Berkeley","Reject","Computer Science","Fall 2019",170,159,4,329,111,"IIT Roorkee","Electrical Engineering",9.7,2,19
"483","Carnegie Mellon University","Reject","AI_ML_DS","Fall 2018",170,150,4,320,100,"IIT Roorkee","Mechanical Engineering",8.47,0,0
"484","University of California, Irvine","Reject","Computer Science","Fall 2019",170,155,3,325,105,"IIT Roorkee","Computer Science",7.45,0,0
"485","University of Maryland, College Park","Reject","Computer Science","Fall 2014",167,151,3.5,318,94,"IIT Roorkee","Electrical Engineering",7.39,0,0
"486","Cornell University","Admit","Materials Science & Engineering","Fall 2017",169,161,3.5,330,119,"IIT Roorkee","Mechanical Engineering",8.7,0,0
"487","Arizona State University","Admit","Computer Science","Fall 2019",165,159,3.5,324,112,"IIT Roorkee","Electrical Engineering",8.2,0,42
"488","University of Wisconsin, Madison","Reject","Computer Science","Fall 2020",170,156,3.5,326,108,"IIT Roorkee","Computer Science",9.19,0,19
"489","Pennsylvania State University","Reject","Electrical Engineering","Fall 2020",170,164,4,334,115,"IIT Roorkee","Electrical Engineering",7.71,0,0
